"Name_Adopt","RA_Adopt","Dec_Adopt","zem_Adopt","RA_UVES","Dec_UVES","RA_SSS","Dec_SSS","B_SSS","R1_SSS","R2_SSS","I_SSS","Name_SDSS","zem_SDSS","u_SDSS","g_SDSS","r_SDSS","i_SDSS","z_SDSS","Name_NED","zem_NED","Name_SIMBAD","zem_SIMBAD","Spec_status","NumExp","ExpTime","WavStart","WavEnd","WavCoverage","Dispersion","CNR","ResPowerNom","SlitWidths","Binnings","Settings","Seeing","ProgIDs","PIObjNames","DLAzabs","DLAlogNHI","DLAelogNHI","DLAReference"
"J004057-014631","00:40:57.61","-01:46:31.9",1.178,"00:40:57.02","-01:46:30.4","00:40:57.610","-01:46:32.07",18.433,17.613,18.315,17.886,"SDSS J004057.61-014631.9",1.178,18.456,18.555,18.29,18.249,18.353,"FBQS J0040-0146",1.178,"4C -02.04A",1.176,0,4,4544,3283.3726700094,9467.1949999548,"3302.51-7517.24,7661.98-9467.19",2.5,"5,12,13,20,13","49.8,49.8,47.8,47.8,47.8",1,"2x2","390,437,580,760","0.44,0.52,0.65","075.A-0841(A)","pksm0038m020",,,,
"J004131-493611","00:41:31.43","-49:36:11.5",3.24,"00:41:31.53","-49:36:11.4","00:41:31.435","-49:36:11.53",17.352,16.435,16.451,16.266,,,,,,,,"CTQ 0408",3.24,"[LMM2001] CTQ 408 18",1.498,0,5,14691,3284.3796094921,9465.7559316039,"3284.38-3358.92,3359.20-5176.30,5176.73-5599.22,5675.76-7523.94,7671.11-7752.01,7752.59-8095.55,8098.93-9465.76",2.5,"10,51,33,87,62","59.8,59.8,56.9,56.9,56.9",0.8,"2x2","390,437,564,760","0.62,0.70,1.11","072.A-0442(A),68.A-0362(A)","ctm408,ctq408",2.248,20.46,0.13,"Zafar et al. (2013)"
"J004201-403039","00:42:01.18","-40:30:39.5",2.37,"00:42:01.23","-40:30:39.0","00:42:01.188","-40:30:39.53",19.767,18.956,19.062,18.692,,,,,,,,"PKS 0039-407",2.37,"QSO B0039-4047",2.478,0,5,16500,3282.6866966527,6653.4776361215,"3293.38-4519.45,4619.51-5599.47,5675.29-6616.57,6619.28-6652.42",2.5,"6,8,19,18,0","49.8,49.8,47.8,47.8,0.0",1,"2x2","390,564","0.75,0.96,1.31","075.A-0158(A)","b0039m407",,,,
"J004216-333754","00:42:16.45","-33:37:54.9",2.48,"00:42:16.50","-33:37:54.4","00:42:16.454","-33:37:54.97",17.999,17.451,17.527,17.442,,,,,,,,"2MASSi J0042164-333754",2.48,"QSO B0039-3354",2.48,0,1,1800,3283.876763187,6650.3416316457,"3283.88-4520.90,4616.87-4621.22,4621.53-4655.18,4660.35-5597.20,5671.01-6614.89,6620.63-6627.53,6627.64-6650.34",2.5,"6,5,12,12,0","59.8,59.8,56.9,56.9,0.0",0.8,"2x2","390,564","0.93,1.06,1.20","072.A-0442(A)","hem0039m3354",2.224,20.6,0.1,"Zafar et al. (2013)"
"J004342-262209","00:43:42.78","-26:22:09.7",3.053,"00:43:42.61","-26:22:11.0","00:43:42.786","-26:22:09.77",18.494,17.702,17.973,17.349,,,,,,,,"LBQS 0041-2638",3.053,"LBQS 0041-2638",3.053,0,2,3600,3758.3503022144,10428.9986470853,"3758.35-4982.25,6701.70-6777.80,6782.66-6849.90,6859.45-6931.33,6941.16-6992.87,6999.11-8524.49,8662.07-9766.78,9774.68-9924.25,9943.72-10086.95,10107.49-10255.05,10282.20-10429.00",2.5,"0,14,0,0,16","0.0,45.5,0.0,0.0,44.2",1.1,"2x2","437,860","0.86,0.97,0.99","70.A-0031(A)","sgp4",,,,
"J004351-265128","00:43:51.85","-26:51:28.1",2.786,"00:43:51.78","-26:51:27.9","00:43:51.858","-26:51:28.11",18.371,17.547,17.872,17.453,,,,,,,,"LBQS 0041-2707",2.786,"LBQS 0041-2707",2.786,0,2,3600,3758.3490050794,10429.0820161392,"3758.35-4983.91,6702.14-6778.64,6782.60-6853.56,6861.45-6934.85,6941.33-6991.58,7001.73-8524.99,8662.79-10086.94,10088.54-10255.13,10267.54-10429.08",2.5,"0,15,0,0,16","0.0,45.5,0.0,0.0,44.2",1.1,"2x2","437,860","0.80,1.16,1.26","70.A-0031(A)","sgp9",,,,
"J004428-243417","00:44:28.08","-24:34:17.9",0.807,"00:44:28.10","-24:34:17.9","00:44:28.085","-24:34:17.99",17.947,17.699,17.554,17.488,,,,,,,,"[HB89] 0042-248",0.807,"QSO B0042-248",0.807,0,2,1800,3284.3163084316,6652.7295020446,"3284.32-4521.96,4619.03-4693.11,4701.73-5579.17,5579.54-5599.35,5673.66-6302.25,6302.83-6618.31,6618.48-6652.73",2.5,"5,5,14,12,0","49.8,49.8,47.8,47.8,0.0",1,"2x2","390,564","0.66,0.66,0.74","67.B-0373(A)","0042m248",,,,
"J004435-262259","00:44:35.72","-26:22:59.6",2.98,"00:44:35.71","-26:22:59.9","00:44:35.722","-26:22:59.69",20.68,19.368,19.455,19.372,,,,,,,,"[WHO91] 0042-266",2.98,"QSO B0042-2639",2.98,0,2,5400,3757.7462457616,10432.367018853,"3758.25-4983.90,6702.19-6778.86,6781.80-6914.16,6914.51-6924.72,6925.07-6931.54,6938.42-6950.47,6951.05-6979.86,6980.32-6992.91,6994.19-7003.41,7005.81-7240.30,7247.06-7254.80,7255.16-7277.95,7278.31-7317.75,7318.36-7330.82,7331.19-7360.16,7360.71-7370.85,7371.46-7403.25,7404.11-7439.95,7440.69-7531.90,7533.22-7541.83,7542.65-7663.81,7664.64-7713.82,7720.19-7725.28,7728.18-7751.16,7752.84-7761.64,7762.15-7773.62,7777.57-7782.05,7782.57-7795.50,7796.34-7810.01,7810.66-7823.11,7823.76-7842.83,7843.55-7850.69,7855.73-7859.73,7863.00-7869.30,7873.17-7891.25,7892.37-7915.17,7915.90-7922.77,7923.49-7932.49,7934.21-7950.83,7951.56-7966.16,7967.02-7981.12,7982.25-7994.84,7995.64-8015.81,8016.27-8027.38,8028.32-8051.71,8054.54-8063.74,8064.62-8103.78,8104.93-8148.10,8148.92-8280.09,8285.20-8290.39,8290.94-8298.00,8301.11-8312.47,8313.03-8344.77,8346.92-8354.45,8355.28-8366.16,8366.93-8381.66,8384.81-8400.69,8401.81-8416.89,8417.80-8431.71,8432.56-8447.76,8449.03-8453.12,8457.14-8466.94,8467.86-8494.95,8496.58-8506.08,8507.43-8524.97,8662.78-8760.41,8763.92-8768.01,8773.87-8777.96,8781.11-8792.98,8793.79-8828.91,8829.65-8834.73,8839.00-8851.54,8852.50-8869.13,8870.31-8887.42,8888.45-8904.63,8906.19-8921.50,8922.17-8945.11,8946.01-8959.82,8960.87-8990.06,8990.88-9003.04,9004.31-9050.99,9053.03-9094.34,9095.32-9103.98,9105.72-9267.82,9268.67-9307.87,9317.57-9323.40,9327.91-9339.43,9345.04-9377.59,9378.77-9388.71,9389.72-9403.51,9405.24-9421.33,9422.67-9441.47,9442.41-9460.30,9461.33-9478.62,9479.65-9504.50,9505.77-9521.16,9522.35-9554.09,9555.44-9568.76,9570.44-9609.46,9610.67-9670.48,9671.53-9692.68,9693.16-9701.25,9702.14-9713.72,9714.28-9721.58,9722.63-9736.83,9741.14-9766.68,9770.18-9793.10,9793.92-9801.35,9802.82-9813.70,9815.58-9850.35,9851.17-9873.62,9875.27-9916.70,9918.02-9923.07,9928.36-9943.28,9950.74-9958.22,9964.78-10014.34,10016.35-10027.55,10028.13-10085.41,10100.39-10105.62,10106.63-10125.86,10127.13-10173.60,10174.87-10182.85,10183.87-10191.51,10193.04-10204.70,10205.97-10255.80,10269.40-10288.35,10289.81-10311.11,10312.83-10321.78,10322.81-10349.18,10350.13-10373.98,10375.80-10422.11,10423.67-10432.37",2.5,"0,5,0,0,6","0.0,45.5,0.0,0.0,44.2",1.1,"3x2","437,860","0.85,1.35,2.11","70.A-0031(A)","sgp1",2.549,21.5,0.2,"This work"
"J004452-264009","00:44:52.24","-26:40:09.0",3.33,"00:44:52.04","-26:40:10.0","00:44:52.248","-26:40:09.07",19.434,18.358,18.283,18.048,,,,,,,,"[WHO91] 0042-269",3.33,"QSO B0042.8-2656",3.358,0,4,9600,3758.3458398159,10429.9429565473,"3885.37-5162.03,5233.59-6207.44,6702.14-6779.54,6781.58-6853.78,6858.07-6934.15,6940.46-6992.86,6996.77-8524.98,8662.86-10087.10,10088.70-10255.47,10260.26-10429.94",2.5,"0,16,16,0,11","0.0,48.7,52.0,0.0,44.2","0.9,1.1","2x2","437,520,860","0.61,0.76,1.37","088.A-0885(A),70.A-0031(A)","q0042m2656,sgp3",,,,
"J004508-291432","00:45:08.51","-29:14:32.3",2.388,"00:45:08.51","-29:14:33.5","00:45:08.515","-29:14:32.33",18.325,17.745,17.7,17.402,,,,,,,,"LBQS 0042-2930",2.388,"LBQS 0042-2930",2.388,0,1,1800,3283.4127455559,6809.6107013306,"3283.41-4512.28,4776.14-5578.38,5578.70-5756.20,5831.86-5856.43,5856.57-6184.74,6184.85-6238.87,6238.98-6362.98,6363.14-6800.93,6801.15-6809.61",2.5,"7,5,15,17,0","59.8,59.8,56.9,56.9,0.0",0.8,"2x2","390,580","0.51,0.59,0.67","072.A-0442(A)","hem0042m2930","1.809,1.936","20.4,20.5","0.1,0.1","Zafar et al. (2013)"
"J004519-264050","00:45:19.57","-26:40:50.6",2.898,"00:45:19.46","-26:40:49.4","00:45:19.570","-26:40:50.63",19.132,18.572,18.656,18.436,,,,,,,,"LBQS 0042-2657",2.898,"LBQS 0042-2657",2.898,0,3,5400,3758.3459193674,10431.9438171981,"3758.35-4983.91,6702.14-6778.92,6781.69-6837.51,6842.64-6850.81,6858.81-6931.49,6941.32-6989.24,6998.34-8447.63,8455.73-8524.98,8664.88-9614.28,9632.18-9766.77,9785.68-9924.32,9943.21-10087.44",2.5,"0,10,0,0,12","0.0,45.5,0.0,0.0,44.2",1.1,"2x2","437,860","1.19,1.27,1.64","70.A-0031(A)","sgp6",,,,
"J004612-293109","00:46:12.20","-29:31:09.9",1.675,"00:46:12.20","-29:31:10.4","00:46:12.200","-29:31:09.99",19.651,19.652,19.4,18.796,,,,,,,,"EIS_QLZ 006",1.675,"2QZ J004612.2-293110",1.675,0,9,45470,3044.8691589465,6654.2929158788,"3093.81-3872.20,4620.81-5601.41,5675.51-6616.89,6619.54-6654.29",2.5,"13,0,26,26,0","49.8,0.0,47.8,47.8,0.0",1,"2x2","346,564","0.64,0.93,1.46","077.B-0758(A)","004345.8m294733",,,,
"J004812-255003","00:48:12.53","-25:50:03.8",1.242,"00:48:12.58","-25:50:02.2","00:48:12.535","-25:50:03.83",18.357,17.521,17.636,17.604,,,,,,,,"LBQS 0045-2606",1.242,"LBQS 0045-2606",1.242,0,2,3000,3285.0624199634,6651.9661218951,"3285.06-4522.61,4618.15-4698.64,4701.15-5598.75,5672.63-6651.97",2.5,"7,6,17,16,0","49.8,49.8,47.8,47.8,0.0",1,"2x2","390,564","0.52,0.68,1.01","67.B-0373(A)","lbqsm0045m2606",,,,
"J004816-254745","00:48:16.99","-25:47:45.9",0.486,"00:48:16.80","-25:47:44.0","00:48:16.993","-25:47:45.98",18.941,18.42,18.499,17.906,,,,,,,,"[HB89] 0045-260",0.486,"QSO B0045-260",0.486,0,2,7200,3284.3024900492,6651.9803452826,"3284.30-4522.62,4619.32-4650.51,4662.94-4688.05,4703.63-5132.17,5132.47-5578.96,5579.80-5598.02,5672.55-5894.72,5905.39-6302.22,6302.85-6651.98",2.5,"7,7,18,17,0","49.8,49.8,47.8,47.8,0.0",1,"2x2","390,564","0.70,0.78,0.94","67.B-0373(A)","0045m260",,,,
"J004848-260020","00:48:48.41","-26:00:20.9",1.41,"00:48:48.40","-26:00:20.0","00:48:48.411","-26:00:20.97",18.838,18.275,18.412,18.259,,,,,,,,"[VCV96] Q 0046-2616",1.41,"QSO B0046-2616",1.41,0,2,7200,3284.915019748,6651.1684496362,"3284.92-4522.52,4617.25-4649.79,4663.42-4684.19,4702.12-5132.14,5132.44-5578.97,5579.63-5597.80,5671.62-6616.48,6620.68-6651.17",2.5,"5,7,14,14,0","49.8,49.8,47.8,47.8,0.0",1,"2x2","390,564","0.99,1.04,1.06","67.B-0373(A)","qm0046m2616",,,,
"J005024-252234","00:50:24.88","-25:22:34.9",1.969,"00:50:24.80","-25:22:34.0","00:50:24.881","-25:22:34.94",18.607,17.806,18.223,17.734,,,,,,,,"LBQS 0047-2538",1.969,"LBQS 0047-2538",1.969,0,3,5400,3285.2263037494,6652.1315525239,"3285.23-4124.83,4130.68-4523.29,4618.58-4685.45,4697.94-4705.82,4710.53-5598.29,5672.54-6652.13",2.5,"6,6,16,14,0","49.8,49.8,47.8,47.8,0.0",1,"2x2","390,564","0.49,0.84,1.17","67.B-0373(A)","lbqsm0047m2538",,,,
"J005102-252846","00:51:02.43","-25:28:46.2",2.082,"00:51:01.80","-25:28:47.0","00:51:02.431","-25:28:46.25",19.418,18.318,18.486,17.682,,,,,,,,"LBQS 0048-2545",2.082,"LBQS 0048-2545",2.082,0,4,7200,3284.9130504202,6652.1628983324,"3284.91-4523.01,4618.29-4657.58,4660.27-4691.69,4696.78-5598.87,5672.80-6617.75,6619.57-6652.16",2.5,"4,5,13,12,0","49.8,49.8,47.8,47.8,0.0",1,"2x2","390,564","0.45,0.59,1.48","67.B-0373(A)","lbqsm0048m2545",,,,
"J005109-255216","00:51:09.24","-25:52:16.8",2.249,"00:51:09.23","-25:52:16.5","00:51:09.241","-25:52:16.80",18.973,18.542,18.753,18.725,,,,,,,,"[HB89] 0048-261",2.249,"QSO B0048-261",2.249,0,2,3600,3284.9523233816,6651.1885156438,"3284.95-4522.65,4617.27-5597.82,5671.59-6617.77,6619.48-6651.19",2.5,"4,4,10,9,0","49.8,49.8,47.8,47.8,0.0",1,"2x2","390,564","0.72,0.89,0.92","67.B-0373(A)","0048m261",,,,
"J005127-280433","00:51:27.17","-28:04:33.9",2.256,"00:51:27.14","-28:04:35.5","00:51:27.177","-28:04:33.94",18.514,17.856,17.767,17.45,,,,,,,,"LBQS 0049-2820",2.256,"LBQS 0049-2820",2.256,0,1,1800,3283.4820895177,6650.4850919696,"3283.48-4520.81,4616.89-5597.04,5671.08-6614.98,6619.33-6650.49",2.5,"11,8,16,15,0","59.8,59.8,56.9,56.9,0.0",0.8,"2x2","390,564","0.59,0.60,0.62","072.A-0442(A)","hem0049m2820",2.071,20.45,0.1,"Noterdaeme et al. (2008)"
