"Name_Adopt","zem_Adopt","DLAzabs","DLAlogNHI","DLAelogNHI","DLAReference"
"J215502+135825",4.256,3.316,20.55,0.15,"Prochaska et al. (2003)"
"J220852-194359",2.558,"1.921,2.076","20.67,20.44","0.05,0.05","Zafar et al. (2013)"
"J222540-392436",2.18,2.154,20.85,0.1,"Zafar et al. (2013)"
"J222826-400957",2.02,1.965,20.65,0.1,"Zafar et al. (2013)"
"J223235+024755",2.15,1.864,20.9,0.1,"Zafar et al. (2013)"
"J223408+000001",3.025,2.066,20.56,0.1,"Prochaska & Wolfe (1999)"
"J223953-055220",4.558,4.079,20.55,0.1,"Zafar et al. (2013)"
"J224708-601545",3.005,2.331,20.65,0.05,"Ledoux et al. (2006)"
"J224931-441730",2.18,1.893,20.4,0.1,"This work"
"J225310-365815",3.2,2.741,20.5,0.1,"This work"
"J225719-100104",2.08,1.836,20.38,0.07,"Ledoux et al. (2015)"
"J230001-341319",2.2,2.129,20.5,0.1,"This work"
"J231359-370446",2.476,2.182,20.48,0.13,"Zafar et al. (2013)"
"J231646-404120",2.448,1.857,20.9,0.1,"Prochaska et al. (2003)"
"J231857-095551",2.665,1.93,21.2,0.2,"This work"
"J232115+142131",2.571,2.573,20.6,0.2,"Prochaska et al. (2005)"
"J232128-105122",2.96,"1.629,1.989","20.52,20.68","0.14,0.05","Zafar et al. (2013)"
"J233156-090802",2.661,2.143,21.15,0.15,"Ledoux et al. (2015)"
"J233446-090812",3.317,3.057,20.5,0.07,"Zafar et al. (2013)"
"J234403+034226",4.239,3.219,21.35,0.07,"Prochaska et al. (2003)"
"J234451+343348",3.053,2.909,21.1,0.1,"Zafar et al. (2013)"
"J234512-433814",3.19,2.612,20.6,0.1,"This work"
"J234625+124743",2.568,2.574,20.98,0.04,"Zafar et al. (2013)"
"J234628+124858",2.515,2.431,20.4,0.07,"Zafar et al. (2013)"
"J235057-005209",3.021,"2.426,2.615","20.5,21.3","0.1,0.08","Zafar et al. (2013)"
"J235129-142756",2.94,2.279,20.56,0.08,"Zafar et al. (2013)"
"J235702-004824",2.998,2.479,20.41,0.08,"Zafar et al. (2013)"
