atom ion wl           f
Ne   VII  780.3240000 5.05000e-02
Ne   VII  770.4090000 1.03000e-01
Na   I   5891.5832480 6.40800e-01
Na   I   5897.5581480 3.20100e-01
Na   I   3303.3690000 9.20000e-03
Na   I   3303.9780000 4.60000e-03
Na   I   2853.0120000 6.77000e-04
Na   I   2852.8110000 1.35000e-03
Mg   I   2852.9627970 1.83000e+00
Mg   I   2026.4749788 1.13000e-01
Mg   I   1827.9351000 2.42000e-02
Mg   I   1747.7937000 9.08000e-03
Mg   I   1707.0606000 4.37000e-03
Mg   I   1683.4116000 2.49000e-03
Mg   I   1668.4288000 1.60000e-03
Mg   II  2796.3537900 6.15500e-01
Mg   II  2803.5309820 3.05800e-01
Mg   II  1240.3947000 3.56000e-04
Mg   II  1239.9253000 6.32000e-04
Mg   II  1026.1134000 3.92000e-04
Mg   II  1025.9681000 7.43000e-04
Mg   X    624.9500000 4.10000e-02
Mg   X    609.7900000 8.42000e-02
Al   I   3945.1224000 1.16000e-01
Al   I   3083.0462000 1.77000e-01
Al   I   2367.7750000 1.06000e-01
Al   I   2264.1647000 8.92000e-02
Al   II  1670.7886100 1.74000e+00
Al   III 1862.7803250 1.15843e-01
Al   III 1862.7985810 1.62157e-01
Al   III 1854.7089660 2.32935e-01
Al   III 1854.7247040 3.26065e-01
Si   I   2515.0725000 2.11000e-01
Si   I   1845.5205000 2.70000e-01
Si   I   1693.2939000 1.56000e-01
Si   I   1631.1700000 2.05100e-01
Si   I   1562.0020000 3.75800e-01
Si   II  2335.1230000 4.25000e-06
Si   II  1808.0128830 2.08000e-03
Si   II  1526.7069800 1.33000e-01
Si   II  1304.3702000 8.63000e-02
Si   II  1260.4221000 1.18000e+00
Si   II  1193.2897000 5.82000e-01
Si   II  1190.4158000 2.92000e-01
Si   II  1020.6989000 1.68000e-02
Si   II   989.8731000 1.71000e-01
Si   II* 1533.4316000 1.32000e-01
Si   II* 1309.2757000 8.60000e-02
Si   II* 1265.0020000 1.17000e-01
Si   II* 1264.7377000 1.05000e+00
Si   II* 1197.3938000 1.45000e-01
Si   II* 1194.5002000 7.27000e-01
Si   III 1206.5000000 1.63000e+00
Si   IV  1393.7601770 5.13000e-01
Si   IV  1402.7729120 2.54000e-01
P    I   1774.9487000 1.69000e-01
P    I   1782.8291000 1.13000e-01
P    II  1532.5330000 3.03000e-03
P    II  1301.8743000 1.27000e-02
P    II  1152.8180000 2.45000e-01
P    II   963.8005000 1.45800e+00
P    II   961.0412000 3.48900e-01
P    III 1334.8132000 2.82000e-02
P    III  997.9996000 1.11700e-01
P    III  917.1178000 4.04000e-01
P    III  913.9683000 2.03000e-01
P    IV   950.6569000 1.49000e+00
P    V   1128.0078000 2.33000e-01
P    V   1117.9774000 4.72000e-01
S    I   1807.3113000 9.05000e-02
S    I   1473.9943000 8.28000e-02
S    I   1295.6531000 8.70000e-02
S    II  1259.5190000 1.66000e-02
S    II  1253.8110000 1.09000e-02
S    II  1250.5840000 5.43000e-03
S    III 1190.2030000 2.37000e-02
S    III 1012.4950000 4.38000e-02
S    IV  1062.6640000 4.94000e-02
S    VI   944.5230000 2.15000e-01
S    VI   933.3780000 4.37000e-01
Cl   I   1347.2396000 1.53000e-01
Ar   I   1066.6598000 6.75000e-02
Ar   I   1048.2199000 2.63000e-01
Ca   I   4227.9180000 1.77000e+00
Ca   I   2276.1690000 6.61000e-02
Ca   II  3934.7745890 6.26700e-01
Ca   II  3969.5896520 3.11600e-01
Sc   II  3643.8220000 3.75000e-01
Sc   II  3581.9470000 2.37000e-01
Sc   II  3568.7150000 1.11000e-01
Sc   II  2563.9580000 8.87000e-02
Sc   III 1610.1940000 8.66000e-02
Sc   III 1603.0640000 1.75000e-02
Ti   II  3384.7298800 3.58000e-01
Ti   II  3242.9178500 2.32000e-01
Ti   II  3230.1215700 6.87000e-02
Ti   II  3073.8627800 1.21000e-01
Ti   II  3067.2373700 4.89000e-02
Ti   II  1910.9538000 9.80000e-02
Ti   II  1910.6123800 1.04000e-01
Ti   III 1298.6970000 9.64000e-02
Ti   III 1295.8840000 4.18000e-02
V    II  2740.5250000 1.01000e-01
V    II  2706.0210000 1.42000e-02
V    II  2683.8870000 1.09000e-01
V    II  2141.7670000 8.05000e-03
V    II  2138.8270000 8.20000e-02
V    II  1106.5710000 1.23000e-01
V    II  1106.4490000 2.39000e-02
V    II  1104.3320000 3.56000e-03
Cr   II  2066.1638190 5.12000e-02
Cr   II  2062.2358730 7.59000e-02
Cr   II  2056.2567280 1.03000e-01
Mn   II  2606.4782710 5.65547e-02
Mn   II  2606.4639770 4.71101e-02
Mn   II  2606.4522640 3.77230e-02
Mn   II  2606.4431760 2.82784e-02
Mn   II  2606.4354060 2.83338e-02
Mn   II  2594.5120680 8.00212e-02
Mn   II  2594.5005870 6.67548e-02
Mn   II  2594.4911910 5.34184e-02
Mn   II  2594.4839010 4.00092e-02
Mn   II  2594.4776080 3.97964e-02
Mn   II  2576.8908980 1.03141e-01
Mn   II  2576.8793680 8.59216e-02
Mn   II  2576.8698490 6.86983e-02
Mn   II  2576.8624940 5.15725e-02
Mn   II  2576.8561810 5.16663e-02
Mn   II  1201.1180000 1.21000e-01
Mn   II  1199.3910000 1.69000e-01
Mn   II  1197.1840000 2.17000e-01
Mn   II  1162.0150000 1.02000e-02
Fe   I   3861.0055400 2.17000e-02
Fe   I   3720.9925700 4.11000e-02
Fe   I   3441.5917000 2.36000e-02
Fe   I   3021.5185400 1.04000e-01
Fe   I   2984.4400300 2.90000e-02
Fe   I   2967.7643900 4.38000e-02
Fe   I   2719.8327600 1.22000e-01
Fe   I   2523.6081200 2.03000e-01
Fe   I   2501.8856900 4.93000e-02
Fe   I   2484.0206900 5.44000e-01
Fe   I   2463.3920400 5.32000e-02
Fe   I   2298.8769000 2.45000e-02
Fe   I   2167.4534000 1.50000e-01
Fe   I   2132.6900000 5.20000e-03
Fe   I   2084.7850000 1.89000e-02
Fe   I   1937.2680000 9.45000e-03
Fe   I   1934.5351000 1.11000e-02
Fe   I   1875.1580000 8.74000e-03
Fe   I   1851.6900000 2.22000e-02
Fe   II  2600.1721140 2.39000e-01
Fe   II  2586.6493120 6.91000e-02
Fe   II  2382.7639950 3.20000e-01
Fe   II  2374.4600640 3.13000e-02
Fe   II  2367.5892400 2.16000e-05
Fe   II  2344.2127470 1.14000e-01
Fe   II  2260.7791080 2.44000e-03
Fe   II  2234.4472000 2.52000e-05
Fe   II  2249.8754720 1.82000e-03
Fe   II  1901.7730000 7.00000e-05
Fe   II  1611.2003690 1.38000e-03
Fe   II  1608.4508520 5.77000e-02
Fe   II  1588.6876000 1.48000e-04
Fe   II  1260.5330000 2.40000e-02
Fe   II  1144.9379000 8.30000e-02
Fe   II  1143.2260000 1.92000e-02
Fe   II  1142.3656000 4.01000e-03
Fe   II  1133.6654000 4.72000e-03
Fe   II  1127.0984000 1.12000e-03
Fe   II  1125.4477000 1.56000e-02
Fe   II  1121.9748000 2.90000e-02
Fe   II  1112.0480000 4.46000e-03
Fe   II  1106.3596000 3.94000e-04
Fe   II  1096.8769000 3.27000e-02
Fe   II  1083.4204000 2.80000e-03
Fe   II  1081.8748000 1.26000e-02
Fe   II  1063.9718000 4.75000e-03
Fe   II  1063.1764000 5.47000e-02
Fe   II  1062.1517000 2.91000e-03
Fe   II  1055.2617000 6.15000e-03
Fe   III 1214.5620000 2.39000e-04
Fe   III 1122.5240000 5.44000e-02
Co   II  2059.4756000 7.51000e-03
Co   II  2026.4122000 1.25000e-02
Co   II  2012.1664000 3.68000e-02
Co   II  1941.2852000 3.40000e-02
Co   II  1574.5508000 2.50000e-02
Co   II  1572.6489000 1.20000e-02
Co   II  1552.7624000 1.16000e-02
Co   II  1480.9546000 1.19000e-02
Co   II  1466.2110000 3.10000e-02
Co   II  1424.7866000 1.09000e-02
Ni   I   2320.7468000 6.85000e-01
Ni   I   2311.6690000 3.76500e-01
Ni   II  1751.9154900 2.77000e-02
Ni   II  1741.5528900 4.27000e-02
Ni   II  1709.6040200 3.24000e-02
Ni   II  1703.4119000 1.22400e-02
Ni   II  1502.1480000 6.00000e-03
Ni   II  1467.7560000 9.90000e-03
Ni   II  1467.2590000 6.30000e-03
Ni   II  1454.8420000 3.23000e-02
Ni   II  1393.3240000 2.22200e-02
Ni   II  1370.1320000 7.69000e-02
Ni   II  1317.2170000 1.46000e-01
Cu   II  1367.9509000 1.79000e-01
Cu   II  1358.7730000 2.63000e-01
Zn   I   2138.5735000 1.47000e+00
Zn   II  2062.6602910 2.46000e-01
Zn   II  2026.1369460 5.01000e-01
Ga   II  1414.4020000 1.77000e+00
Ge   II  1602.4863000 1.44000e-01
Ge   II  1237.0591000 1.23000e+00
Ge   II  1164.2720000 2.80000e-01
!    --     0.0000000 0.00000e+00
As   II  1263.7700000 2.59000e-01
As   II  1207.4490000 2.34000e-02
As   II  1181.5380000 3.09000e-02
Se   I   1530.4570000 2.60000e-01
Se   I   1405.3820000 1.05000e-01
Se   I   1353.8990000 5.03000e-02
Se   II  1049.6480000 8.23000e-02
Se   II  1033.5560000 1.65000e-01
Se   II  1013.4340000 2.63000e-01
Br   I   1540.6610000 7.71000e-02
Br   I   1488.4590000 6.69000e-02
Kr   I   1235.8380000 2.04000e-01
Kr   I   1164.8672000 1.88000e-01
Sr   I   4608.6170000 2.01000e+00
Sr   I   2570.2380000 1.66000e-02
Sr   I   2428.8280000 4.68000e-02
Sr   I   2355.0290000 4.79000e-02
Sr   I   2307.9740000 2.88000e-02
Sr   II  4216.7070000 3.34000e-01
Sr   II  4078.8610000 7.01000e-01
Sr   II  1793.0880000 5.60000e-03
Sr   II  1783.8700000 6.90000e-04
Y    II  3112.9320000 6.54000e-03
Zr   II  3573.4879000 1.67000e-01
Zr   II  3389.2675000 6.50000e-02
Zr   II  3358.2263000 4.60000e-02
Zr   II  3273.1651000 5.00000e-02
Zr   II  3285.6581000 8.30000e-02
Zr   II  3209.2401000 1.00000e-02
Zr   II  2762.6930000 1.00000e-02
Zr   II  2759.6070000 9.10000e-02
Zr   II  2743.3490000 2.04000e-01
Zr   II  2712.3060000 4.90000e-02
Zr   II  2568.4240000 1.35000e-01
Zr   II  2551.5180000 5.00000e-02
Zr   III 1798.0480000 1.78000e-01
Nb   II  2866.4520000 6.03000e-02
Nb   II  2668.0880000 9.55000e-02
Ru   II  1888.0430000 2.93000e-02
Pd   II  1403.5520000 3.28000e-02
Pd   II  1367.7000000 7.12000e-02
Pd   II  1374.8430000 3.60000e-02
Pd   II  1320.0180000 1.22000e-01
Pd   II  1235.1910000 4.00000e-02
Pd   II  1218.6180000 5.85000e-02
Pd   II  1203.9600000 1.32000e-01
Ag   II  1195.8830000 3.69000e-02
Ag   II  1112.4830000 4.29000e-01
Ag   II  1107.0720000 3.82000e-01
Cd   II  2265.7152000 2.47000e-01
Cd   II  2145.0697000 4.98000e-01
Sn   II  1400.4500000 1.09000e+00
Hg   II  1649.9470000 8.30000e-01
Pb   II  1433.9050000 8.70000e-01
